patient_text,symptoms,training_text,disease,risk_hint,category
"These symptoms started 3 days ago: chest pain, cough and fatigue.",chest pain|cough|fatigue,"These symptoms started 3 days ago: chest pain, cough and fatigue. Symptoms: chest pain, cough, fatigue",Asthma Exacerbation,HIGH,Respiratory
"These symptoms started 1 day ago: fever, loss of smell and cough.",fever|loss of smell|cough,"These symptoms started 1 day ago: fever, loss of smell and cough. Symptoms: fever, loss of smell, cough",COVID-19,HIGH,Respiratory
"I have been noticing cough, loss of smell, shortness of breath, loss of taste and fever over the past 1 week.",cough|loss of smell|shortness of breath|loss of taste|fever,"I have been noticing cough, loss of smell, shortness of breath, loss of taste and fever over the past 1 week. Symptoms: cough, loss of smell, shortness of breath, loss of taste, fever",COVID-19,HIGH,Respiratory
My main problems are dehydration and abdominal pain and it started 5 days ago.,dehydration|abdominal pain,"My main problems are dehydration and abdominal pain and it started 5 days ago. Symptoms: dehydration, abdominal pain",Gastroenteritis,MEDIUM,GI
"My main problems are frequent urination, fever and back pain and it started 1 week ago.",frequent urination|fever|back pain,"My main problems are frequent urination, fever and back pain and it started 1 week ago. Symptoms: frequent urination, fever, back pain",Urinary Tract Infection,MEDIUM,Genitourinary
"The pain has been right lower abdominal pain, abdominal pain, appetite loss, fever, vomiting and nausea for 1 week.",right lower abdominal pain|abdominal pain|appetite loss|fever|vomiting|nausea,"The pain has been right lower abdominal pain, abdominal pain, appetite loss, fever, vomiting and nausea for 1 week. Symptoms: right lower abdominal pain, abdominal pain, appetite loss, fever, vomiting, nausea",Appendicitis Concern,HIGH,GI
There is blood in my urine with sharp side pain for 1 week.,blood in urine|back pain|vomiting|nausea,"There is blood in my urine with sharp side pain for 1 week. Symptoms: blood in urine, back pain, vomiting, nausea",Kidney Stone / Renal Colic,HIGH,Genitourinary
"The pain has been appetite loss, fever, vomiting and right lower abdominal pain for 2 days.",appetite loss|fever|vomiting|right lower abdominal pain,"The pain has been appetite loss, fever, vomiting and right lower abdominal pain for 2 days. Symptoms: appetite loss, fever, vomiting, right lower abdominal pain",Appendicitis Concern,HIGH,GI
"For the last 2 days, I have been dealing with dizziness, sensitivity to light, nausea, headache and bloating.",dizziness|sensitivity to light|nausea|headache|bloating,"For the last 2 days, I have been dealing with dizziness, sensitivity to light, nausea, headache and bloating. Symptoms: dizziness, sensitivity to light, nausea, headache, bloating",Migraine,LOW,Neurology
"I have been noticing cough, sore throat, sneezing and runny nose over the past 1 day.",cough|sore throat|sneezing|runny nose,"I have been noticing cough, sore throat, sneezing and runny nose over the past 1 day. Symptoms: cough, sore throat, sneezing, runny nose",Common Cold,LOW,Respiratory
"I have been noticing cough, headache and chills over the past 3 days.",cough|headache|chills,"I have been noticing cough, headache and chills over the past 3 days. Symptoms: cough, headache, chills",Influenza,MEDIUM,Respiratory
"My main problems are fever, cough, loss of smell, shortness of breath, loss of taste and fatigue and it started 4 days ago.",fever|cough|loss of smell|shortness of breath|loss of taste|fatigue,"My main problems are fever, cough, loss of smell, shortness of breath, loss of taste and fatigue and it started 4 days ago. Symptoms: fever, cough, loss of smell, shortness of breath, loss of taste, fatigue",COVID-19,HIGH,Respiratory
"Since 5 days, I have had wheezing and fatigue.",wheezing|fatigue,"Since 5 days, I have had wheezing and fatigue. Symptoms: wheezing, fatigue",Asthma Exacerbation,HIGH,Respiratory
There is blood in my urine with sharp side pain for 4 days.,nausea|vomiting|blood in urine|burning urination|back pain|excessive thirst,"There is blood in my urine with sharp side pain for 4 days. Symptoms: nausea, vomiting, blood in urine, burning urination, back pain, excessive thirst",Kidney Stone / Renal Colic,HIGH,Genitourinary
"My main problems are fever, burning urination and blurred vision and it started 3 days ago.",fever|burning urination|blurred vision,"My main problems are fever, burning urination and blurred vision and it started 3 days ago. Symptoms: fever, burning urination, blurred vision",Urinary Tract Infection,MEDIUM,Genitourinary
"My blood sugar level has been high with frequent urination, blurred vision, fatigue and excessive thirst for 4 days.",frequent urination|blurred vision|fatigue|high blood sugar|excessive thirst,"My blood sugar level has been high with frequent urination, blurred vision, fatigue and excessive thirst for 4 days. Symptoms: frequent urination, blurred vision, fatigue, high blood sugar, excessive thirst",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"For the last 2 days, I have been dealing with fatigue and chest pain.",fatigue|chest pain,"For the last 2 days, I have been dealing with fatigue and chest pain. Symptoms: fatigue, chest pain",Pneumonia,HIGH,Respiratory
"I have been noticing runny nose, sneezing, congestion and itchy eyes over the past 5 days.",runny nose|sneezing|congestion|itchy eyes,"I have been noticing runny nose, sneezing, congestion and itchy eyes over the past 5 days. Symptoms: runny nose, sneezing, congestion, itchy eyes",Allergic Rhinitis,LOW,Allergy
"I have bloating, abdominal pain, nausea and appetite loss for 2 days.",bloating|abdominal pain|nausea|appetite loss,"I have bloating, abdominal pain, nausea and appetite loss for 2 days. Symptoms: bloating, abdominal pain, nausea, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have fever, sore throat, headache, swollen glands and fatigue for 1 day.",fever|sore throat|headache|swollen glands|fatigue,"I have fever, sore throat, headache, swollen glands and fatigue for 1 day. Symptoms: fever, sore throat, headache, swollen glands, fatigue",Mononucleosis-like Illness,MEDIUM,Infectious
"Over the last 5 days, I am experiencing fever, loss of smell, fatigue and loss of taste.",fever|loss of smell|fatigue|loss of taste,"Over the last 5 days, I am experiencing fever, loss of smell, fatigue and loss of taste. Symptoms: fever, loss of smell, fatigue, loss of taste",COVID-19,HIGH,Respiratory
I have left upper abdominal discomfort under my ribs for 2 days.,left upper abdominal pain,I have left upper abdominal discomfort under my ribs for 2 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"Over the last 3 days, I am experiencing chest pain, fatigue, wheezing and chills.",chest pain|fatigue|wheezing|chills,"Over the last 3 days, I am experiencing chest pain, fatigue, wheezing and chills. Symptoms: chest pain, fatigue, wheezing, chills",Bronchitis,MEDIUM,Respiratory
"My main problems are abdominal pain, fever, nausea, vomiting, appetite loss and blurred vision and it started 4 days ago.",abdominal pain|fever|nausea|vomiting|appetite loss|blurred vision,"My main problems are abdominal pain, fever, nausea, vomiting, appetite loss and blurred vision and it started 4 days ago. Symptoms: abdominal pain, fever, nausea, vomiting, appetite loss, blurred vision",Appendicitis Concern,HIGH,GI
"For the last 2 days, my glucose has been high and I also have frequent urination, fatigue and excessive thirst.",frequent urination|high blood sugar|fatigue|excessive thirst,"For the last 2 days, my glucose has been high and I also have frequent urination, fatigue and excessive thirst. Symptoms: frequent urination, high blood sugar, fatigue, excessive thirst",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"The pain has been vomiting, fever, right lower abdominal pain, abdominal pain, appetite loss, nausea and headache for 4 days.",vomiting|fever|right lower abdominal pain|abdominal pain|appetite loss|nausea|headache,"The pain has been vomiting, fever, right lower abdominal pain, abdominal pain, appetite loss, nausea and headache for 4 days. Symptoms: vomiting, fever, right lower abdominal pain, abdominal pain, appetite loss, nausea, headache",Appendicitis Concern,HIGH,GI
"Patient reports abdominal pain, diarrhea, dehydration and bloating since 4 days.",abdominal pain|diarrhea|dehydration|bloating,"Patient reports abdominal pain, diarrhea, dehydration and bloating since 4 days. Symptoms: abdominal pain, diarrhea, dehydration, bloating",Gastroenteritis,MEDIUM,GI
"Over the last 4 days, I am experiencing fever, ear pain and heartburn.",fever|ear pain|heartburn,"Over the last 4 days, I am experiencing fever, ear pain and heartburn. Symptoms: fever, ear pain, heartburn",Ear Infection,MEDIUM,ENT
"Since 5 days, I have had headache, fever, chills, body ache, cough and fatigue.",headache|fever|chills|body ache|cough|fatigue,"Since 5 days, I have had headache, fever, chills, body ache, cough and fatigue. Symptoms: headache, fever, chills, body ache, cough, fatigue",Influenza,MEDIUM,Respiratory
"Over the last 3 days, I am experiencing cough, runny nose, sore throat and sneezing.",cough|runny nose|sore throat|sneezing,"Over the last 3 days, I am experiencing cough, runny nose, sore throat and sneezing. Symptoms: cough, runny nose, sore throat, sneezing",Common Cold,LOW,Respiratory
"These symptoms started 4 days ago: cough, runny nose and headache.",cough|runny nose|headache,"These symptoms started 4 days ago: cough, runny nose and headache. Symptoms: cough, runny nose, headache",Common Cold,LOW,Respiratory
"These symptoms started 1 week ago: cough, shortness of breath, fatigue, wheezing and chest pain.",cough|shortness of breath|fatigue|wheezing|chest pain,"These symptoms started 1 week ago: cough, shortness of breath, fatigue, wheezing and chest pain. Symptoms: cough, shortness of breath, fatigue, wheezing, chest pain",Asthma Exacerbation,HIGH,Respiratory
"For 1 day, my back has been aching after physical strain.",back pain|fatigue|body ache|stiffness|bloating,"For 1 day, my back has been aching after physical strain. Symptoms: back pain, fatigue, body ache, stiffness, bloating",Musculoskeletal Back Strain,LOW,Musculoskeletal
"For the last 2 days, I have been dealing with congestion and headache.",congestion|headache,"For the last 2 days, I have been dealing with congestion and headache. Symptoms: congestion, headache",Sinusitis,LOW,Respiratory
I have localized pain under the left ribs for 1 day.,left upper abdominal pain,I have localized pain under the left ribs for 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
There is pain near my spleen area for 1 week.,left upper abdominal pain,There is pain near my spleen area for 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"Patient reports fatigue, body ache, stiffness and excessive thirst since 1 week.",fatigue|body ache|stiffness|excessive thirst,"Patient reports fatigue, body ache, stiffness and excessive thirst since 1 week. Symptoms: fatigue, body ache, stiffness, excessive thirst",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Patient reports nausea, abdominal pain, appetite loss, bloating, heartburn and congestion since 5 days.",nausea|abdominal pain|appetite loss|bloating|heartburn|congestion,"Patient reports nausea, abdominal pain, appetite loss, bloating, heartburn and congestion since 5 days. Symptoms: nausea, abdominal pain, appetite loss, bloating, heartburn, congestion",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have bloating, appetite loss, abdominal pain and nausea for 1 day.",bloating|appetite loss|abdominal pain|nausea,"I have bloating, appetite loss, abdominal pain and nausea for 1 day. Symptoms: bloating, appetite loss, abdominal pain, nausea",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Over the last 1 week, I am experiencing loss of taste, loss of smell and shortness of breath.",loss of taste|loss of smell|shortness of breath,"Over the last 1 week, I am experiencing loss of taste, loss of smell and shortness of breath. Symptoms: loss of taste, loss of smell, shortness of breath",COVID-19,HIGH,Respiratory
My blood sugar level has been high with blurred vision and frequent urination for 3 days.,blurred vision|high blood sugar|frequent urination,"My blood sugar level has been high with blurred vision and frequent urination for 3 days. Symptoms: blurred vision, high blood sugar, frequent urination",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Since 4 days, I have had nausea, sensitivity to light and headache.",nausea|sensitivity to light|headache,"Since 4 days, I have had nausea, sensitivity to light and headache. Symptoms: nausea, sensitivity to light, headache",Migraine,LOW,Neurology
"These symptoms started 5 days ago: body ache, cough, headache, fever, fatigue, chills and heartburn.",body ache|cough|headache|fever|fatigue|chills|heartburn,"These symptoms started 5 days ago: body ache, cough, headache, fever, fatigue, chills and heartburn. Symptoms: body ache, cough, headache, fever, fatigue, chills, heartburn",Influenza,MEDIUM,Respiratory
"Over the last 3 days, I am experiencing back pain and fatigue.",back pain|fatigue,"Over the last 3 days, I am experiencing back pain and fatigue. Symptoms: back pain, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"These symptoms started 3 days ago: shortness of breath, chest pain, cough, fever and fatigue.",shortness of breath|chest pain|cough|fever|fatigue,"These symptoms started 3 days ago: shortness of breath, chest pain, cough, fever and fatigue. Symptoms: shortness of breath, chest pain, cough, fever, fatigue",Pneumonia,HIGH,Respiratory
"The pain has been abdominal pain, right lower abdominal pain, fever and appetite loss for 4 days.",abdominal pain|right lower abdominal pain|fever|appetite loss,"The pain has been abdominal pain, right lower abdominal pain, fever and appetite loss for 4 days. Symptoms: abdominal pain, right lower abdominal pain, fever, appetite loss",Appendicitis Concern,HIGH,GI
"These symptoms started 1 day ago: fever, swollen glands and dizziness.",fever|swollen glands|dizziness,"These symptoms started 1 day ago: fever, swollen glands and dizziness. Symptoms: fever, swollen glands, dizziness",Mononucleosis-like Illness,MEDIUM,Infectious
"My main problems are bloating, appetite loss, abdominal pain and fatigue and it started 5 days ago.",bloating|appetite loss|abdominal pain|fatigue,"My main problems are bloating, appetite loss, abdominal pain and fatigue and it started 5 days ago. Symptoms: bloating, appetite loss, abdominal pain, fatigue",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"My main problems are cough, fatigue, fever, wheezing and heartburn and it started 1 day ago.",cough|fatigue|fever|wheezing|heartburn,"My main problems are cough, fatigue, fever, wheezing and heartburn and it started 1 day ago. Symptoms: cough, fatigue, fever, wheezing, heartburn",Bronchitis,MEDIUM,Respiratory
"Since 1 week, I have had nausea, headache and sensitivity to light.",nausea|headache|sensitivity to light,"Since 1 week, I have had nausea, headache and sensitivity to light. Symptoms: nausea, headache, sensitivity to light",Migraine,LOW,Neurology
"Since 3 days, I have had chest pain, wheezing and fatigue.",chest pain|wheezing|fatigue,"Since 3 days, I have had chest pain, wheezing and fatigue. Symptoms: chest pain, wheezing, fatigue",Bronchitis,MEDIUM,Respiratory
"I have been noticing fever, cough, fatigue, headache and chills over the past 3 days.",fever|cough|fatigue|headache|chills,"I have been noticing fever, cough, fatigue, headache and chills over the past 3 days. Symptoms: fever, cough, fatigue, headache, chills",Influenza,MEDIUM,Respiratory
"My main problems are fatigue, cough, shortness of breath, chest pain and heartburn and it started 1 day ago.",fatigue|cough|shortness of breath|chest pain|heartburn,"My main problems are fatigue, cough, shortness of breath, chest pain and heartburn and it started 1 day ago. Symptoms: fatigue, cough, shortness of breath, chest pain, heartburn",Asthma Exacerbation,HIGH,Respiratory
"For the last 2 days, I have been dealing with fever, headache, cough, fatigue, body ache, chills and blurred vision.",fever|headache|cough|fatigue|body ache|chills|blurred vision,"For the last 2 days, I have been dealing with fever, headache, cough, fatigue, body ache, chills and blurred vision. Symptoms: fever, headache, cough, fatigue, body ache, chills, blurred vision",Influenza,MEDIUM,Respiratory
"Over the last 1 week, I am experiencing abdominal pain and nausea.",abdominal pain|nausea,"Over the last 1 week, I am experiencing abdominal pain and nausea. Symptoms: abdominal pain, nausea",Gastroenteritis,MEDIUM,GI
"I have been noticing cough, headache, chills, fever, fatigue and body ache over the past 5 days.",cough|headache|chills|fever|fatigue|body ache,"I have been noticing cough, headache, chills, fever, fatigue and body ache over the past 5 days. Symptoms: cough, headache, chills, fever, fatigue, body ache",Influenza,MEDIUM,Respiratory
"My main problems are chills, fever, cough, headache and fatigue and it started 4 days ago.",chills|fever|cough|headache|fatigue,"My main problems are chills, fever, cough, headache and fatigue and it started 4 days ago. Symptoms: chills, fever, cough, headache, fatigue",Influenza,MEDIUM,Respiratory
"My main problems are headache, body ache, cough and dizziness and it started 5 days ago.",headache|body ache|cough|dizziness,"My main problems are headache, body ache, cough and dizziness and it started 5 days ago. Symptoms: headache, body ache, cough, dizziness",Influenza,MEDIUM,Respiratory
"Since 2 days, I have had fever and burning urination.",fever|burning urination,"Since 2 days, I have had fever and burning urination. Symptoms: fever, burning urination",Urinary Tract Infection,MEDIUM,Genitourinary
"Since 5 days, I have had rash, nausea, fever and headache.",rash|nausea|fever|headache,"Since 5 days, I have had rash, nausea, fever and headache. Symptoms: rash, nausea, fever, headache",Dengue-like Viral Fever,MEDIUM,Fever
I have been noticing headache and fever over the past 2 days.,headache|fever,"I have been noticing headache and fever over the past 2 days. Symptoms: headache, fever",Mononucleosis-like Illness,MEDIUM,Infectious
"My main problems are shortness of breath, wheezing, fatigue and cough and it started 2 days ago.",shortness of breath|wheezing|fatigue|cough,"My main problems are shortness of breath, wheezing, fatigue and cough and it started 2 days ago. Symptoms: shortness of breath, wheezing, fatigue, cough",Asthma Exacerbation,HIGH,Respiratory
"Since 1 day, I have had headache, ear pain and excessive thirst.",headache|ear pain|excessive thirst,"Since 1 day, I have had headache, ear pain and excessive thirst. Symptoms: headache, ear pain, excessive thirst",Ear Infection,MEDIUM,ENT
"My symptoms are hard to describe, mostly pain around my spleen region for 4 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 4 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
My lower back hurts after lifting something heavy for 1 day.,stiffness|back pain|fatigue|body ache|bloating,"My lower back hurts after lifting something heavy for 1 day. Symptoms: stiffness, back pain, fatigue, body ache, bloating",Musculoskeletal Back Strain,LOW,Musculoskeletal
"For the last 2 days, I have been dealing with chest pain, shortness of breath, cough, fatigue and fever.",chest pain|shortness of breath|cough|fatigue|fever,"For the last 2 days, I have been dealing with chest pain, shortness of breath, cough, fatigue and fever. Symptoms: chest pain, shortness of breath, cough, fatigue, fever",Pneumonia,HIGH,Respiratory
"For the last 4 days, I have been dealing with shortness of breath, cough, chest pain, fatigue and wheezing.",shortness of breath|cough|chest pain|fatigue|wheezing,"For the last 4 days, I have been dealing with shortness of breath, cough, chest pain, fatigue and wheezing. Symptoms: shortness of breath, cough, chest pain, fatigue, wheezing",Asthma Exacerbation,HIGH,Respiratory
"For 2 days, I have had pain on my side with blood in the urine and nausea.",vomiting|burning urination|blood in urine|nausea|back pain|excessive thirst,"For 2 days, I have had pain on my side with blood in the urine and nausea. Symptoms: vomiting, burning urination, blood in urine, nausea, back pain, excessive thirst",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Since 1 day, I have had fever, frequent urination and back pain.",fever|frequent urination|back pain,"Since 1 day, I have had fever, frequent urination and back pain. Symptoms: fever, frequent urination, back pain",Urinary Tract Infection,MEDIUM,Genitourinary
"Since 1 day, I have had cough, body ache and chills.",cough|body ache|chills,"Since 1 day, I have had cough, body ache and chills. Symptoms: cough, body ache, chills",Influenza,MEDIUM,Respiratory
"Over the last 1 day, I am experiencing vomiting and blood in urine.",vomiting|blood in urine,"Over the last 1 day, I am experiencing vomiting and blood in urine. Symptoms: vomiting, blood in urine",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have been noticing vomiting, nausea, dehydration and abdominal pain over the past 5 days.",vomiting|nausea|dehydration|abdominal pain,"I have been noticing vomiting, nausea, dehydration and abdominal pain over the past 5 days. Symptoms: vomiting, nausea, dehydration, abdominal pain",Gastroenteritis,MEDIUM,GI
"For the last 1 week, I have been dealing with wheezing, chest pain, fever and fatigue.",wheezing|chest pain|fever|fatigue,"For the last 1 week, I have been dealing with wheezing, chest pain, fever and fatigue. Symptoms: wheezing, chest pain, fever, fatigue",Bronchitis,MEDIUM,Respiratory
"Since 2 days, I have had shortness of breath, loss of taste, fatigue, fever, cough and loss of smell.",shortness of breath|loss of taste|fatigue|fever|cough|loss of smell,"Since 2 days, I have had shortness of breath, loss of taste, fatigue, fever, cough and loss of smell. Symptoms: shortness of breath, loss of taste, fatigue, fever, cough, loss of smell",COVID-19,HIGH,Respiratory
"For the last 1 week, I have been dealing with fever, headache and body ache.",fever|headache|body ache,"For the last 1 week, I have been dealing with fever, headache and body ache. Symptoms: fever, headache, body ache",Dengue-like Viral Fever,MEDIUM,Fever
"My main problems are shortness of breath, cough and dizziness and it started 5 days ago.",shortness of breath|cough|dizziness,"My main problems are shortness of breath, cough and dizziness and it started 5 days ago. Symptoms: shortness of breath, cough, dizziness",Pneumonia,HIGH,Respiratory
"Over the last 1 week, I am experiencing congestion, itchy eyes, sneezing and fatigue.",congestion|itchy eyes|sneezing|fatigue,"Over the last 1 week, I am experiencing congestion, itchy eyes, sneezing and fatigue. Symptoms: congestion, itchy eyes, sneezing, fatigue",Allergic Rhinitis,LOW,Allergy
"These symptoms started 4 days ago: loss of taste, cough, loss of smell and blurred vision.",loss of taste|cough|loss of smell|blurred vision,"These symptoms started 4 days ago: loss of taste, cough, loss of smell and blurred vision. Symptoms: loss of taste, cough, loss of smell, blurred vision",COVID-19,HIGH,Respiratory
I have been noticing headache and sore throat over the past 1 day.,headache|sore throat,"I have been noticing headache and sore throat over the past 1 day. Symptoms: headache, sore throat",Mononucleosis-like Illness,MEDIUM,Infectious
"My main problems are cough, sneezing and runny nose and it started 1 day ago.",cough|sneezing|runny nose,"My main problems are cough, sneezing and runny nose and it started 1 day ago. Symptoms: cough, sneezing, runny nose",Common Cold,LOW,Respiratory
"I have nausea, abdominal pain, right lower abdominal pain, appetite loss and vomiting and the discomfort has been there for 2 days.",nausea|abdominal pain|right lower abdominal pain|appetite loss|vomiting,"I have nausea, abdominal pain, right lower abdominal pain, appetite loss and vomiting and the discomfort has been there for 2 days. Symptoms: nausea, abdominal pain, right lower abdominal pain, appetite loss, vomiting",Appendicitis Concern,HIGH,GI
I have runny nose and sore throat for 1 day.,runny nose|sore throat,"I have runny nose and sore throat for 1 day. Symptoms: runny nose, sore throat",Sinusitis,LOW,Respiratory
I have been noticing congestion and runny nose over the past 3 days.,congestion|runny nose,"I have been noticing congestion and runny nose over the past 3 days. Symptoms: congestion, runny nose",Allergic Rhinitis,LOW,Allergy
"For the last 1 week, I have been dealing with chest pain, fatigue and stiffness.",chest pain|fatigue|stiffness,"For the last 1 week, I have been dealing with chest pain, fatigue and stiffness. Symptoms: chest pain, fatigue, stiffness",Pneumonia,HIGH,Respiratory
"For the last 3 days, I have been dealing with facial pain, headache, sore throat and blurred vision.",facial pain|headache|sore throat|blurred vision,"For the last 3 days, I have been dealing with facial pain, headache, sore throat and blurred vision. Symptoms: facial pain, headache, sore throat, blurred vision",Sinusitis,LOW,Respiratory
I have appetite loss and heartburn for 1 week.,appetite loss|heartburn,"I have appetite loss and heartburn for 1 week. Symptoms: appetite loss, heartburn",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Patient reports sore throat, headache, fever and swollen glands since 3 days.",sore throat|headache|fever|swollen glands,"Patient reports sore throat, headache, fever and swollen glands since 3 days. Symptoms: sore throat, headache, fever, swollen glands",Mononucleosis-like Illness,MEDIUM,Infectious
"For the last 5 days, I have been dealing with shortness of breath, fever, fatigue and chills.",shortness of breath|fever|fatigue|chills,"For the last 5 days, I have been dealing with shortness of breath, fever, fatigue and chills. Symptoms: shortness of breath, fever, fatigue, chills",Pneumonia,HIGH,Respiratory
"Over the last 2 days, I am experiencing shortness of breath, fatigue and cough.",shortness of breath|fatigue|cough,"Over the last 2 days, I am experiencing shortness of breath, fatigue and cough. Symptoms: shortness of breath, fatigue, cough",COVID-19,HIGH,Respiratory
"These symptoms started 2 days ago: nausea, blood in urine and vomiting.",nausea|blood in urine|vomiting,"These symptoms started 2 days ago: nausea, blood in urine and vomiting. Symptoms: nausea, blood in urine, vomiting",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Since 2 days, I have had frequent urination, fever, back pain and excessive thirst.",frequent urination|fever|back pain|excessive thirst,"Since 2 days, I have had frequent urination, fever, back pain and excessive thirst. Symptoms: frequent urination, fever, back pain, excessive thirst",Urinary Tract Infection,MEDIUM,Genitourinary
"I have been noticing sneezing, runny nose and itchy eyes over the past 1 week.",sneezing|runny nose|itchy eyes,"I have been noticing sneezing, runny nose and itchy eyes over the past 1 week. Symptoms: sneezing, runny nose, itchy eyes",Allergic Rhinitis,LOW,Allergy
"These symptoms started 3 days ago: fatigue, shortness of breath, loss of taste, fever, loss of smell and cough.",fatigue|shortness of breath|loss of taste|fever|loss of smell|cough,"These symptoms started 3 days ago: fatigue, shortness of breath, loss of taste, fever, loss of smell and cough. Symptoms: fatigue, shortness of breath, loss of taste, fever, loss of smell, cough",COVID-19,HIGH,Respiratory
"I have right lower abdominal pain, abdominal pain, appetite loss, fever and nausea and the discomfort has been there for 5 days.",right lower abdominal pain|abdominal pain|appetite loss|fever|nausea,"I have right lower abdominal pain, abdominal pain, appetite loss, fever and nausea and the discomfort has been there for 5 days. Symptoms: right lower abdominal pain, abdominal pain, appetite loss, fever, nausea",Appendicitis Concern,HIGH,GI
"Since 1 week, I have had runny nose, cough and dizziness.",runny nose|cough|dizziness,"Since 1 week, I have had runny nose, cough and dizziness. Symptoms: runny nose, cough, dizziness",Common Cold,LOW,Respiratory
"Patient reports fever, fatigue, cough, shortness of breath and chest pain since 1 day.",fever|fatigue|cough|shortness of breath|chest pain,"Patient reports fever, fatigue, cough, shortness of breath and chest pain since 1 day. Symptoms: fever, fatigue, cough, shortness of breath, chest pain",Pneumonia,HIGH,Respiratory
There is pain near my spleen area for 1 day.,left upper abdominal pain,There is pain near my spleen area for 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"These symptoms started 2 days ago: sneezing, congestion, itchy eyes and runny nose.",sneezing|congestion|itchy eyes|runny nose,"These symptoms started 2 days ago: sneezing, congestion, itchy eyes and runny nose. Symptoms: sneezing, congestion, itchy eyes, runny nose",Allergic Rhinitis,LOW,Allergy
"Over the last 4 days, I am experiencing nausea, headache, sensitivity to light and dizziness.",nausea|headache|sensitivity to light|dizziness,"Over the last 4 days, I am experiencing nausea, headache, sensitivity to light and dizziness. Symptoms: nausea, headache, sensitivity to light, dizziness",Migraine,LOW,Neurology
"For the last 4 days, I have been dealing with cough, fatigue, fever and bloating.",cough|fatigue|fever|bloating,"For the last 4 days, I have been dealing with cough, fatigue, fever and bloating. Symptoms: cough, fatigue, fever, bloating",Bronchitis,MEDIUM,Respiratory
I have been noticing congestion and headache over the past 3 days.,congestion|headache,"I have been noticing congestion and headache over the past 3 days. Symptoms: congestion, headache",Sinusitis,LOW,Respiratory
